PRP$,RB,DT,JJ,NN,CC,VB,VBG,IN,NNP,NNS,PRP,VBP,MD,TO,VBZ,CD,VBD,VBN,RP,WP,WRB,FW,WDT,PDT,JJR,RBR,JJS,EX,RBS,NNPS,UH,WP$,$,'',POS
4,9,9,7,22,7,12,4,15,7,4,10,5,5,3,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,155,147,159,233,86,146,60,211,52,96,245,128,46,75,74,16,34,26,20,18,28,2,9,2,5,5,3,1,0,0,0,0,0,0,0
11,25,40,29,62,21,45,14,46,9,20,40,28,5,18,11,4,14,5,2,4,1,0,5,1,0,1,2,4,2,0,0,0,0,0,0
24,84,56,51,104,22,61,15,102,25,33,70,51,12,35,22,6,40,16,7,13,8,0,4,3,7,0,5,8,0,0,0,0,0,0,0
11,19,11,10,24,9,10,10,19,8,10,24,16,4,1,3,1,2,2,0,1,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0
62,148,122,107,208,62,144,67,260,88,55,295,130,48,111,84,6,51,38,14,14,18,0,11,4,1,3,4,1,0,1,2,0,0,0,0
19,84,70,58,119,26,100,23,113,46,22,149,83,32,52,17,2,18,5,11,6,8,0,10,0,5,3,2,5,2,0,0,0,0,0,0
47,129,118,95,248,91,142,53,215,60,62,220,128,37,76,43,4,38,15,26,27,15,0,7,2,9,1,5,4,2,0,0,0,0,0,0
53,111,170,143,284,74,108,58,239,30,95,154,88,44,68,54,6,16,29,9,7,4,1,11,1,7,2,4,5,1,0,0,0,0,0,0
3,7,12,2,20,5,9,4,13,8,3,12,6,2,3,3,0,1,2,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2,9,3,4,8,3,2,2,4,2,2,14,7,1,1,3,1,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,11,21,19,7,15,7,20,15,10,30,20,5,5,4,2,2,1,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,4,7,3,11,4,6,1,6,0,2,19,7,2,3,3,1,5,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
79,118,85,114,195,44,115,37,152,78,73,190,119,38,33,43,8,15,21,9,17,16,0,10,1,6,3,2,7,3,2,1,1,0,0,0
16,44,50,43,63,15,50,15,66,21,23,91,45,16,23,12,5,11,4,5,4,6,0,0,2,6,4,2,0,0,0,0,0,0,0,0
17,59,64,57,98,24,86,14,101,28,41,112,65,25,30,17,6,9,6,3,10,8,0,3,0,0,1,1,9,0,0,0,0,0,0,0
12,51,59,51,92,20,34,11,68,18,21,37,16,8,17,21,14,21,4,3,6,2,0,6,1,3,1,3,1,0,0,1,0,0,0,0
2,7,3,5,9,1,4,0,7,4,2,6,1,1,2,2,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,25,16,19,42,25,21,8,32,24,10,46,13,4,13,14,9,24,13,2,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,130,160,146,293,70,114,53,204,40,79,161,101,24,56,47,27,95,34,22,9,29,1,12,1,6,1,9,3,0,0,1,0,0,0,0
6,22,20,17,27,14,17,3,33,4,9,40,19,9,7,8,0,1,9,1,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0,0
18,56,32,30,73,27,35,14,47,25,17,60,27,4,23,6,3,27,11,5,3,10,0,0,0,0,0,1,3,0,0,1,0,0,0,0
34,94,75,62,108,44,65,25,103,33,50,100,61,16,26,15,6,27,11,3,12,9,0,1,2,11,3,7,1,0,1,0,0,0,0,0
2,0,1,0,1,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,90,74,58,139,26,53,24,137,37,34,105,38,16,34,28,5,42,11,6,4,8,0,4,1,5,2,4,3,0,0,1,0,0,0,0
16,29,31,28,56,20,39,10,43,35,12,60,28,7,22,9,9,13,7,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
156,388,383,426,646,196,541,153,629,238,213,746,466,155,242,136,18,75,49,31,70,50,0,31,12,26,6,14,66,0,0,2,0,0,0,0
2,9,8,3,11,3,7,2,11,0,6,16,9,3,3,0,0,2,1,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
121,299,383,303,641,132,293,140,505,195,174,415,250,66,151,137,39,122,52,30,81,25,0,15,5,23,9,12,9,1,2,0,1,0,0,0
21,35,41,29,53,17,24,5,53,11,22,35,22,13,14,4,2,4,2,0,2,0,0,2,2,1,0,2,2,0,0,0,0,0,0,0
66,114,133,96,264,56,102,29,160,50,55,172,71,19,65,40,16,103,27,10,9,25,0,2,7,1,1,3,8,1,0,0,0,0,0,0
19,55,55,41,91,22,64,13,83,30,23,81,42,20,31,17,4,18,8,3,5,3,0,5,1,7,3,5,1,1,1,0,0,0,0,0
12,46,42,29,71,29,37,12,65,17,12,80,35,14,18,27,2,16,9,7,14,4,0,2,0,5,1,2,1,0,0,1,0,0,0,0
51,162,157,132,273,100,206,50,250,92,71,321,175,40,92,40,7,62,37,15,22,17,0,5,3,10,4,5,2,0,0,2,0,0,0,0
6,22,26,16,39,17,13,9,27,12,5,37,20,3,8,8,5,8,5,1,3,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,5,26,20,31,6,15,11,22,5,17,25,18,5,7,8,0,19,8,1,5,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0
57,140,126,84,206,66,72,33,171,41,51,187,88,9,45,41,13,67,21,25,5,22,0,5,4,6,4,4,4,1,0,1,0,0,0,0
22,27,50,31,98,25,45,13,59,29,23,42,30,14,26,16,3,4,8,4,7,2,0,7,2,1,0,2,3,1,1,1,0,0,0,0
11,26,38,20,67,19,24,12,44,19,20,49,28,7,17,8,5,7,4,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,46,46,47,100,22,51,30,62,27,18,113,64,12,23,22,5,18,8,6,10,13,0,5,2,7,1,4,2,0,0,0,0,0,0,0
3,19,5,13,22,13,23,5,29,1,9,30,7,7,9,5,3,8,3,1,4,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0
2,8,6,3,14,9,18,1,8,3,1,22,18,4,8,2,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,7,10,21,7,10,1,23,10,5,25,13,3,4,7,1,2,4,3,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
65,201,181,163,309,89,174,68,214,71,87,260,131,41,96,70,16,75,40,18,17,34,1,8,3,6,1,1,1,0,0,1,0,0,0,0
23,49,55,47,103,18,35,17,91,29,23,93,44,5,19,33,4,26,3,2,3,9,0,3,0,1,0,4,8,0,0,0,0,0,0,0
15,33,35,22,74,21,39,15,55,31,16,79,27,10,25,21,4,29,6,3,2,4,0,0,0,2,0,1,1,0,0,0,0,0,0,0
17,41,43,29,72,24,45,15,64,28,18,85,40,14,20,15,5,18,12,5,6,5,0,2,2,0,1,1,2,0,0,0,0,0,0,0
10,31,31,23,46,10,24,19,44,20,25,58,34,7,22,6,2,10,6,5,2,4,0,3,0,2,0,2,0,0,0,0,0,0,0,0
35,69,57,39,126,37,76,24,97,41,23,100,40,14,49,26,2,36,12,7,14,2,0,7,0,2,2,5,4,0,1,0,0,0,0,0
137,273,285,298,598,167,296,139,442,134,164,404,223,81,140,117,19,65,51,23,38,36,0,20,3,17,4,18,7,2,2,0,0,0,0,0
3,11,16,13,29,7,13,1,18,9,5,16,14,7,5,3,0,2,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,103,97,80,158,58,77,23,126,44,41,130,66,17,36,35,13,36,23,16,8,8,0,4,1,7,0,2,1,1,1,0,0,0,0,0
0,11,5,4,8,2,7,0,7,1,2,10,5,2,4,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,48,24,30,51,22,31,19,48,27,16,72,32,7,17,17,4,13,2,8,5,6,0,1,2,0,0,1,2,0,0,1,0,0,0,0
5,21,13,17,28,7,14,5,18,6,13,24,17,5,8,3,2,6,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,5,3,5,8,3,11,0,14,1,5,15,11,5,3,0,1,2,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0
3,8,13,10,22,5,15,8,18,11,10,18,8,5,7,4,6,4,4,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
21,65,87,66,119,30,65,16,93,19,41,68,45,18,35,31,4,9,10,7,6,8,1,6,0,4,1,3,3,4,0,0,0,0,0,0
3,2,4,3,8,0,2,2,5,1,1,5,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,132,75,113,166,88,135,27,186,73,85,219,123,38,80,33,32,70,16,7,18,26,0,6,1,16,11,7,7,1,0,0,0,0,0,0
34,98,88,93,175,42,104,38,143,32,53,144,95,37,59,38,5,10,18,9,6,7,0,6,1,2,2,2,2,1,0,0,0,0,0,0
12,98,88,61,140,45,70,28,119,41,21,132,75,22,39,31,2,13,19,9,7,5,0,4,0,4,4,3,2,1,0,1,0,0,0,0
15,42,51,40,88,29,47,16,86,33,25,75,47,12,23,14,1,13,11,2,4,2,0,2,1,4,0,7,3,0,0,0,0,0,0,0
55,138,101,97,176,68,188,34,187,30,64,244,106,53,88,44,12,26,13,15,19,14,0,9,2,10,3,6,0,0,2,0,0,0,0,0
3,13,19,14,29,9,18,5,24,10,3,37,20,3,8,9,0,7,3,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
35,67,82,57,135,47,93,26,101,44,39,141,61,21,39,23,11,47,9,16,5,12,1,3,2,3,2,4,2,0,0,0,0,0,0,0
2,2,3,1,8,2,2,0,3,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,7,3,11,1,5,4,9,3,3,11,7,0,3,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,10,5,5,17,2,10,3,12,4,5,12,4,3,2,3,0,3,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
9,13,28,14,42,11,24,7,33,24,9,29,20,7,11,5,7,6,7,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
8,13,24,19,30,10,9,6,30,12,9,30,11,3,8,4,0,8,2,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
41,136,101,79,205,54,160,43,165,42,45,231,120,24,73,60,4,40,24,6,25,30,1,3,3,10,1,3,5,3,0,3,0,0,0,0
7,23,22,19,40,11,21,15,37,14,6,33,17,8,6,4,1,2,3,2,2,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0
11,41,32,27,51,14,45,7,55,14,17,47,18,14,16,10,2,12,7,2,4,3,0,3,0,2,0,0,2,0,0,0,0,0,0,0
7,23,42,27,77,22,34,8,51,10,13,44,18,7,12,7,7,18,2,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84,162,187,158,341,90,178,62,282,47,83,210,118,53,101,66,7,34,38,15,14,17,0,12,5,7,7,7,6,1,0,0,0,0,0,0
151,515,500,423,832,252,361,154,637,266,235,566,303,93,170,161,52,152,92,54,38,49,0,27,10,29,18,14,7,3,3,0,0,0,0,0
171,454,346,365,709,292,486,192,653,155,250,640,319,125,261,151,31,126,99,38,38,55,1,19,6,31,15,17,15,8,1,2,0,0,0,0
13,26,36,31,46,17,23,7,46,7,22,41,34,4,11,12,4,12,4,5,3,9,0,3,1,2,1,3,2,0,0,0,0,0,0,0
52,135,173,138,310,78,124,49,232,57,68,177,81,29,68,47,18,75,22,9,19,15,0,7,4,13,2,5,1,1,0,0,0,0,0,0
4,9,3,10,15,2,7,2,9,4,2,20,12,3,2,4,1,1,2,1,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0
10,22,23,30,39,16,18,11,42,15,20,32,20,6,8,9,3,11,4,1,0,3,2,3,1,6,0,0,1,0,0,1,0,0,0,0
4,10,7,5,9,4,4,1,6,2,0,7,6,0,1,4,1,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,41,48,45,79,36,44,14,52,26,32,48,25,9,31,28,9,18,11,2,4,3,0,0,0,6,0,6,2,1,0,0,0,0,0,0
33,106,101,105,160,54,95,37,157,50,51,168,81,21,65,39,13,45,21,11,10,5,0,7,1,12,3,2,3,2,0,2,1,0,0,0
6,9,13,5,22,7,18,6,18,0,6,21,15,5,10,3,1,1,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,58,67,61,133,25,90,23,119,27,44,121,69,29,36,21,11,15,14,5,4,5,0,7,0,11,3,1,4,0,1,0,0,0,0,0
114,523,382,326,651,272,371,230,682,155,207,918,524,104,218,178,55,156,135,67,36,57,0,19,2,40,11,13,11,2,2,3,0,1,0,0
2,9,4,1,9,5,4,3,3,5,2,4,4,0,4,0,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,267,263,186,468,177,280,85,344,95,103,474,200,81,95,74,37,114,33,34,26,28,1,9,4,19,3,8,4,3,0,0,0,0,0,0
2,9,10,16,15,10,12,6,14,9,7,23,14,1,7,5,1,4,1,0,2,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
17,38,32,30,66,26,35,17,51,19,13,58,34,5,29,16,2,5,2,5,4,1,0,1,0,1,0,1,2,0,0,1,0,0,0,0
27,136,109,77,148,54,123,34,130,44,46,236,117,36,50,54,5,40,24,7,16,19,0,6,2,8,4,9,4,1,0,0,0,0,0,0
2,12,15,9,22,5,8,4,16,7,5,28,10,6,3,7,0,9,2,2,2,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0
49,117,113,102,171,64,131,39,194,61,42,204,89,32,71,39,5,46,23,14,17,14,1,3,1,7,0,3,6,0,0,0,0,0,0,0
19,22,28,33,53,18,25,13,38,22,14,50,20,7,11,9,1,22,6,2,4,2,0,4,0,1,2,2,3,0,0,0,0,0,0,0
65,156,88,90,160,66,120,48,181,70,55,262,115,25,64,40,9,62,27,18,8,15,0,5,3,14,2,8,1,1,1,0,0,0,0,0
32,65,61,49,112,33,45,17,98,30,27,94,52,11,26,30,3,25,11,6,5,6,0,2,0,2,2,2,2,1,0,0,0,0,0,0
32,46,57,60,94,33,41,9,79,23,32,80,42,11,28,15,7,22,10,8,3,5,0,6,1,5,3,4,1,0,0,1,0,0,0,0
42,168,156,139,250,84,142,61,233,73,86,191,98,39,73,40,8,53,25,11,14,10,0,11,3,13,8,8,1,0,1,1,1,0,0,0
8,20,29,22,46,16,7,3,44,17,10,21,16,1,6,5,6,9,8,0,0,0,0,1,0,5,2,3,3,1,0,0,0,0,0,0
34,72,98,97,174,53,96,32,138,61,51,137,92,27,43,35,4,25,14,7,10,9,1,9,2,4,5,0,3,0,0,0,0,0,0,0
93,246,314,297,458,155,275,125,500,134,169,279,183,100,152,90,26,42,62,15,26,38,0,22,7,5,11,19,10,8,1,0,0,0,0,0
2,7,9,6,9,5,7,2,15,5,6,27,12,0,5,1,2,11,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,8,1,8,1,3,0,5,0,2,4,3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,50,46,53,84,29,57,19,66,25,19,69,41,8,31,13,3,24,8,4,4,4,0,3,0,2,2,2,2,1,0,0,0,0,0,0
30,62,53,61,97,37,38,21,105,23,29,85,47,6,22,21,6,20,7,6,2,9,0,3,1,5,3,2,3,0,1,0,0,0,0,0
46,106,113,97,193,64,109,43,172,79,58,228,98,29,51,42,17,61,26,14,9,19,1,13,3,4,3,4,3,1,0,1,0,0,0,0
12,16,22,30,47,11,20,12,60,20,9,40,21,3,14,14,1,3,7,4,0,2,0,2,1,4,0,1,0,0,0,0,0,0,0,0
2,6,10,11,17,6,7,2,12,6,3,12,10,2,2,4,1,4,3,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0
159,348,350,346,720,205,376,135,512,384,158,556,359,108,218,178,60,73,85,29,32,32,1,21,6,20,8,3,15,0,4,0,1,0,0,0
5,21,24,21,46,14,13,3,24,6,10,23,13,5,7,4,0,16,2,4,3,2,0,2,0,1,0,2,2,0,0,0,0,0,0,0
9,21,21,21,35,9,18,11,33,14,10,24,13,3,11,9,3,12,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,358,415,374,759,234,560,170,604,140,196,685,409,157,260,142,40,86,78,63,40,58,2,21,3,23,11,12,10,1,0,1,0,0,0,0
48,210,176,190,284,89,173,51,275,97,70,209,110,56,91,71,16,38,31,9,20,29,0,8,4,9,5,3,14,4,2,0,0,0,0,0
5,13,15,15,22,8,13,4,23,8,5,21,11,8,3,8,2,1,3,2,1,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0
64,173,137,140,237,66,132,61,221,82,78,207,152,23,81,35,8,27,21,10,7,22,0,3,3,5,2,9,5,0,2,0,0,0,0,0
88,222,176,142,362,88,260,85,287,151,84,368,166,81,141,89,17,34,24,33,25,28,0,13,4,13,5,13,3,1,0,2,0,0,0,0
10,19,18,26,37,14,17,3,42,5,14,32,21,6,9,11,3,4,2,2,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,0,2,1,6,0,3,1,2,0,1,3,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19,25,20,35,15,25,8,39,8,18,45,22,14,11,13,2,5,4,1,8,6,0,0,4,0,0,2,3,0,1,0,0,0,0,0
15,30,40,38,71,22,25,6,45,8,18,35,23,8,16,13,3,9,9,2,0,4,0,5,0,3,1,1,2,0,0,1,0,0,0,0
29,97,104,115,195,34,78,27,149,27,44,102,96,20,58,39,5,15,26,3,12,9,0,6,0,3,0,0,1,0,0,0,0,0,0,0
36,148,154,141,256,98,118,82,255,52,68,236,112,13,89,59,19,91,35,7,17,22,0,10,1,10,9,4,3,2,0,1,1,0,0,0
16,34,43,32,63,18,23,8,50,29,17,53,31,6,7,10,7,20,4,5,2,11,0,1,0,3,2,1,2,0,0,0,0,0,0,0
164,364,417,395,726,187,373,134,678,182,281,572,303,151,195,164,42,142,88,39,41,53,0,29,4,30,10,27,13,2,1,0,0,0,0,0
60,184,159,149,305,92,202,64,293,83,103,277,161,35,109,54,18,66,21,16,13,32,0,5,4,11,3,2,5,2,1,1,0,0,0,0
21,52,31,38,59,29,45,13,62,21,12,73,39,10,28,13,1,24,9,5,1,6,0,0,0,3,2,2,0,0,0,0,0,0,0,0
161,417,438,444,832,268,459,131,658,191,283,475,289,137,242,143,23,119,79,38,44,47,1,24,2,24,13,21,24,2,4,4,0,0,0,0
14,20,22,12,41,16,28,7,39,2,7,52,20,9,9,9,2,10,1,1,2,5,0,2,0,3,0,0,1,0,0,0,0,0,0,0
11,31,20,14,27,13,30,9,42,8,13,63,36,6,20,3,0,5,7,0,1,7,0,0,0,1,1,2,0,0,1,0,0,0,0,0
50,149,157,105,250,80,160,64,211,76,69,299,157,33,99,69,6,70,36,15,23,19,0,10,1,11,4,5,3,1,0,0,0,0,0,0
1,1,4,0,8,2,3,0,5,6,0,8,5,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,41,47,26,84,24,49,14,78,9,22,62,23,20,21,15,4,13,16,4,4,4,0,0,1,1,0,2,2,0,0,0,0,0,0,0
20,28,46,24,63,19,34,11,67,13,18,69,25,9,24,11,4,30,7,3,3,11,0,0,0,2,0,0,1,2,0,0,0,0,0,0
15,36,38,25,64,15,27,7,56,20,22,60,32,10,15,21,4,19,11,5,9,3,0,2,1,1,1,0,1,1,3,0,0,0,0,0
49,116,136,105,236,59,90,53,181,83,71,185,103,28,47,46,11,53,32,15,13,19,0,7,3,6,3,4,7,2,1,3,0,0,0,0
85,390,306,263,472,167,312,130,454,135,185,415,253,119,134,91,33,79,52,31,26,28,1,19,4,23,4,16,16,0,0,0,0,0,1,0
109,568,395,353,748,234,524,211,639,226,220,634,368,99,270,150,19,124,69,39,53,48,5,34,3,23,12,17,11,1,3,4,0,0,0,0
9,17,19,16,33,10,18,7,21,3,8,31,16,7,5,7,0,1,8,2,2,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0
14,32,46,53,76,31,50,17,55,16,18,57,29,16,21,17,3,6,13,4,3,6,0,1,1,3,1,2,1,0,0,0,0,0,0,0
6,28,16,20,27,8,22,9,21,10,11,39,19,7,14,5,5,5,5,1,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0
50,139,136,157,216,74,158,52,223,56,101,219,134,48,78,46,9,43,34,7,14,15,0,8,3,3,9,2,6,1,0,0,0,0,0,0
31,84,53,50,133,46,93,23,104,44,40,139,78,20,40,13,9,36,10,9,16,13,0,0,0,3,1,4,2,0,1,0,0,0,0,0
6,48,39,40,53,13,45,8,58,28,24,111,59,12,19,18,2,27,8,3,16,6,0,9,0,1,2,1,1,0,0,2,0,0,0,0
6,21,24,26,50,11,21,17,41,6,7,36,19,2,11,16,0,8,3,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0
176,333,347,324,679,205,345,135,500,138,212,444,237,88,164,123,16,47,72,40,36,42,0,29,5,17,10,6,12,2,0,0,0,0,0,0
176,354,375,275,700,179,416,175,533,216,211,680,321,105,206,107,51,185,83,42,45,37,0,19,7,21,7,6,10,0,3,4,0,0,0,0
178,536,453,509,999,325,419,154,583,77,291,463,473,110,201,221,62,142,167,47,42,75,0,22,5,29,16,20,13,3,1,0,0,0,0,0
8,31,36,31,69,20,26,18,56,11,15,42,17,11,16,10,5,19,12,9,4,5,0,0,0,2,4,3,1,0,0,0,0,0,0,0
184,313,410,358,761,206,445,221,707,195,296,666,381,72,338,110,47,178,69,64,67,56,1,16,3,24,13,12,9,2,2,0,0,0,0,0
96,243,277,217,485,96,221,74,394,87,135,395,236,67,108,79,19,87,49,15,32,24,1,18,5,13,12,13,11,0,1,0,0,0,0,0
1,10,11,8,18,7,8,3,16,9,4,9,5,5,7,5,0,1,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
4,24,15,22,37,13,23,7,24,19,5,29,14,5,10,10,1,7,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,57,46,60,91,29,51,19,66,31,34,80,40,15,24,21,2,10,7,3,2,5,0,5,1,4,3,1,2,1,0,0,0,0,0,0
3,36,23,15,36,10,17,9,35,7,14,38,27,5,11,5,9,10,8,2,1,1,0,1,1,2,0,2,1,0,0,0,0,0,0,0
30,89,134,121,203,57,89,43,153,32,91,142,89,28,60,47,17,34,23,13,11,17,0,9,2,10,3,3,5,0,1,0,0,0,0,0
141,515,330,351,621,288,518,113,562,225,192,775,451,156,278,133,18,94,51,29,52,35,0,23,5,55,13,13,8,3,2,1,0,0,0,0
1,4,6,1,9,4,5,2,6,0,3,10,3,0,2,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,29,31,27,54,19,14,14,39,18,15,19,13,4,11,9,3,11,8,2,2,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,2,0,0,2,0,1,0,3,0,0,5,1,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,200,174,131,256,78,138,58,237,89,75,216,139,25,86,41,22,45,29,8,10,10,0,8,0,18,6,8,4,1,0,0,0,0,0,0
28,85,102,88,176,57,93,31,166,30,92,150,105,27,53,58,6,22,20,13,13,2,2,12,1,4,1,4,8,0,0,0,0,0,0,0
7,12,26,14,47,6,12,7,24,12,10,25,10,2,11,2,3,18,5,2,3,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0
118,468,397,375,726,239,448,180,689,216,222,692,410,96,256,140,23,162,74,45,68,62,0,27,11,25,13,8,13,1,2,0,1,0,0,0
10,10,16,8,31,9,17,4,15,5,5,23,16,7,3,3,2,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
